edad,genero,porcentaje_boletos,porcentaje_viniles,porcentaje_playeras,porcentaje_sudaderas,porcentaje_figuras,porcentaje_gorras,porcentaje_accesorios,porcentaje_cobijas,porcentaje_peluches,porcentaje_sudaderas,porcentaje_atickers,porcentaje_posters,total_usuarios
18,0,100.00,100.00,100.00,150.00,150.00,150.00,150.00,100.00,100.00,150.00,100.00,100.00,2
18,1,300.00,300.00,100.00,100.00,100.00,100.00,0.00,0.00,200.00,100.00,100.00,0.00,1
19,0,200.00,180.00,100.00,120.00,120.00,20.00,180.00,20.00,60.00,120.00,140.00,80.00,5
19,1,133.33,66.67,133.33,100.00,100.00,50.00,116.67,16.67,33.33,100.00,133.33,133.33,6
20,0,191.67,116.67,116.67,133.33,133.33,108.33,150.00,50.00,58.33,133.33,133.33,166.67,12
20,1,220.00,126.67,173.33,173.33,173.33,93.33,146.67,66.67,86.67,173.33,220.00,186.67,15
21,0,175.00,116.67,150.00,158.33,158.33,125.00,150.00,66.67,91.67,158.33,133.33,133.33,12
21,1,225.00,108.33,108.33,175.00,175.00,100.00,133.33,33.33,50.00,175.00,141.67,108.33,12
22,0,200.00,114.29,114.29,100.00,100.00,57.14,57.14,14.29,42.86,100.00,57.14,128.57,7
22,1,192.31,100.00,130.77,123.08,123.08,92.31,107.69,46.15,38.46,123.08,92.31,100.00,13
23,0,185.71,85.71,128.57,71.43,71.43,85.71,100.00,14.29,28.57,71.43,142.86,100.00,7
23,1,211.11,66.67,166.67,177.78,177.78,144.44,200.00,55.56,88.89,177.78,155.56,100.00,9
24,0,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
24,1,250.00,250.00,50.00,100.00,100.00,50.00,150.00,0.00,0.00,100.00,150.00,150.00,2
25,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
25,1,300.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,1
26,0,100.00,200.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,1
27,0,100.00,100.00,200.00,200.00,200.00,0.00,100.00,0.00,0.00,200.00,300.00,300.00,1
27,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
