frecuencia_consumo_musica,donde_consumo_musica,plataformas_streaming_consumo_musica,redes_sociales_utilizadas_novedades_musicales,importancia_musica_diaria
3,"En casa","Spotify, YouTube Music","TikTok, YouTube",3.0000
3,"En casa, En el trabajo, En el transporte público, Mientras hago ejercicio","Spotify, Apple Music","Instagram, TikTok",3.0000
3,"En casa, En el trabajo, En transporte propio, En reuniones o fiestas","Spotify, YouTube Music","TikTok, Twitter/X",3.0000
3,"En casa, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,TikTok,3.0000
3,"En casa, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"No estoy al tanto de las tendencias",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio",Spotify,"Instagram, TikTok",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, En reuniones o fiestas","Spotify, YouTube Music","Instagram, YouTube",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio","Spotify, Amazon Music","Instagram, TikTok, Twitter/X, YouTube, Facebook",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Deezer,"Instagram, TikTok, YouTube",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"Instagram, TikTok, Twitter/X, YouTube",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"Instagram, TikTok, YouTube",2.5000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"Instagram, TikTok, YouTube, Facebook",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, Apple Music, YouTube Music, Deezer",TikTok,3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music","Instagram, TikTok, YouTube",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music","TikTok, YouTube",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music, Amazon Music, Trebel","Instagram, TikTok, Twitter/X, YouTube",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music, Apple music","Instagram, TikTok, YouTube",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, Mientras hago ejercicio","Apple Music, YouTube Music, Apple music, YouTube (Default)","TikTok, YouTube, No estoy al tanto de las tendencias",3.0000
