ocupacion,edad,nivel_educativo,freq_instagram,freq_tiktok,freq_twitter,freq_youtube,freq_facebook,freq_tend_music,redes_sociales_utilizadas_novedades_musicales
"Ama de casa ",27,"Secundaria Completa",0.0000,1.0000,0.0000,3.0000,1.0000,0.0000,YouTube
"Estudio y soy becaria",21,"Licenciatura Incompleta",3.0000,3.0000,3.0000,1.0000,2.0000,1.0000,"No estoy al tanto de las tendencias"
"Estudio y trabajo medio tiempo",17,"Preparatoria Completa",3.0000,1.0000,0.0000,1.0000,3.0000,1.0000,"Instagram, TikTok, YouTube, Facebook"
"Estudio y trabajo medio tiempo",18,"Preparatoria Completa",3.0000,3.0000,0.0000,1.0000,3.0000,2.0000,TikTok
"Estudio y trabajo medio tiempo",19,"Licenciatura Completa",3.0000,3.0000,2.0000,3.0000,3.0000,3.0000,TikTok
"Estudio y trabajo medio tiempo",19,"Licenciatura Incompleta",3.0000,3.0000,2.0000,3.0000,1.0000,1.0000,"Instagram, TikTok, YouTube"
"Estudio y trabajo medio tiempo",19,"Preparatoria Completa",3.0000,3.0000,2.0000,2.0000,2.0000,1.0000,TikTok
"Estudio y trabajo medio tiempo",20,"Carrera técnica completa",3.0000,2.0000,1.0000,1.0000,3.0000,0.0000,"Instagram, TikTok, Facebook"
"Estudio y trabajo medio tiempo",20,"Carrera técnica incompleta",3.0000,3.0000,1.0000,1.0000,2.0000,1.0000,"Instagram, TikTok"
"Estudio y trabajo medio tiempo",20,"Licenciatura Incompleta",3.0000,3.0000,2.0000,3.0000,2.5000,1.5000,"Instagram, TikTok, YouTube"
"Estudio y trabajo medio tiempo",20,"Licenciatura Incompleta",3.0000,3.0000,2.0000,2.0000,3.0000,1.0000,"Instagram, TikTok, YouTube, Facebook"
"Estudio y trabajo medio tiempo",20,"Licenciatura Incompleta",3.0000,3.0000,3.0000,3.0000,3.0000,2.0000,"TikTok, Twitter/X"
"Estudio y trabajo medio tiempo",20,"Preparatoria Completa",3.0000,3.0000,1.0000,3.0000,1.0000,1.0000,"Instagram, TikTok"
"Estudio y trabajo medio tiempo",20,"Preparatoria Completa",3.0000,0.0000,2.0000,1.0000,0.0000,1.0000,"Instagram, Twitter/X, No estoy al tanto de las tendencias"
"Estudio y trabajo medio tiempo",20,"Preparatoria Completa",3.0000,3.0000,3.0000,3.0000,2.0000,1.0000,"Twitter/X, YouTube"
"Estudio y trabajo medio tiempo",21,"Carrera técnica incompleta",2.0000,3.0000,1.0000,3.0000,2.0000,1.0000,"TikTok, YouTube"
"Estudio y trabajo medio tiempo",21,"Licenciatura Incompleta",3.0000,1.0000,0.0000,3.0000,0.0000,1.0000,Instagram
"Estudio y trabajo medio tiempo",21,"Licenciatura Incompleta",3.0000,3.0000,3.0000,1.0000,1.0000,2.0000,"Instagram, TikTok, Twitter/X"
"Estudio y trabajo medio tiempo",21,"Licenciatura Incompleta",3.0000,2.0000,1.0000,2.0000,1.0000,1.0000,"Instagram, TikTok, Twitter/X, YouTube"
"Estudio y trabajo medio tiempo",21,"Licenciatura Incompleta",3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,"Instagram, TikTok, Twitter/X, YouTube, Facebook"
"Estudio y trabajo medio tiempo",21,"Licenciatura Incompleta",3.0000,3.0000,2.0000,3.0000,3.0000,1.0000,"Instagram, TikTok, YouTube, Facebook"
"Estudio y trabajo medio tiempo",21,"Licenciatura Incompleta",3.0000,0.0000,0.0000,3.0000,3.0000,1.0000,"Instagram, YouTube, Facebook"
"Estudio y trabajo medio tiempo",21,"Licenciatura Incompleta",2.0000,1.0000,1.0000,3.0000,2.0000,0.0000,"No estoy al tanto de las tendencias"
"Estudio y trabajo medio tiempo",21,"Licenciatura Incompleta",3.0000,3.0000,2.0000,2.5000,2.5000,1.0000,TikTok
"Estudio y trabajo medio tiempo",22,"Licenciatura Completa",3.0000,2.0000,0.0000,1.0000,3.0000,2.0000,"Instagram, Facebook"
"Estudio y trabajo medio tiempo",22,"Licenciatura Completa",3.0000,3.0000,1.0000,2.0000,1.5000,1.5000,TikTok
"Estudio y trabajo medio tiempo",22,"Licenciatura Incompleta",3.0000,3.0000,3.0000,3.0000,1.0000,2.0000,"Instagram, TikTok, Twitter/X, YouTube"
"Estudio y trabajo medio tiempo",22,"Licenciatura Incompleta",2.0000,3.0000,2.0000,3.0000,3.0000,1.0000,"Instagram, TikTok, Twitter/X, YouTube, Facebook"
"Estudio y trabajo medio tiempo",22,"Licenciatura Incompleta",3.0000,3.0000,2.0000,2.5000,2.5000,2.0000,"Instagram, TikTok, YouTube"
"Estudio y trabajo medio tiempo",22,"Licenciatura Incompleta",3.0000,0.5000,0.0000,2.5000,1.5000,1.5000,"Instagram, YouTube"
"Estudio y trabajo medio tiempo",22,"Licenciatura Incompleta",1.0000,3.0000,1.0000,3.0000,0.0000,0.0000,"TikTok, YouTube, No estoy al tanto de las tendencias"
"Estudio y trabajo medio tiempo",23,"Licenciatura Incompleta",3.0000,2.5000,1.5000,1.5000,1.0000,1.0000,"Instagram, TikTok"
"Estudio y trabajo medio tiempo",23,"Licenciatura Incompleta",2.0000,2.0000,1.0000,2.0000,2.0000,1.0000,TikTok
"Estudio y trabajo medio tiempo",23,"Licenciatura Incompleta",2.0000,2.3333,1.3333,3.0000,1.6667,0.6667,"TikTok, YouTube"
"Estudio y trabajo medio tiempo",24,"Licenciatura Incompleta",3.0000,3.0000,1.0000,3.0000,3.0000,2.0000,"Instagram, Facebook"
"Estudio y trabajo medio tiempo",24,"Licenciatura Incompleta",3.0000,3.0000,1.0000,2.0000,0.0000,1.0000,"Instagram, TikTok, YouTube"
Hogar,29,"Licenciatura Completa",3.0000,3.0000,2.0000,3.0000,3.0000,3.0000,TikTok
"No trabajo ni estudio actualmente",22,"Licenciatura Completa",3.0000,2.0000,3.0000,1.0000,1.0000,3.0000,"Instagram, Twitter/X"
"No trabajo ni estudio actualmente",23,"Licenciatura Completa",3.0000,3.0000,3.0000,2.0000,2.0000,0.0000,"Instagram, TikTok"
"No trabajo ni estudio actualmente",23,"Licenciatura Completa",2.0000,3.0000,3.0000,3.0000,2.0000,2.0000,"TikTok, Twitter/X"
"No trabajo ni estudio actualmente",26,"Carrera técnica completa",2.0000,1.0000,1.0000,2.0000,3.0000,0.0000,"No estoy al tanto de las tendencias"
"Solo estudio",18,"Licenciatura Incompleta",3.0000,3.0000,1.0000,2.0000,1.0000,1.0000,TikTok
"Solo estudio",18,"Preparatoria Completa",3.0000,3.0000,3.0000,2.0000,1.0000,1.0000,"Instagram, TikTok"
"Solo estudio",19,"Carrera técnica incompleta",3.0000,2.0000,1.0000,3.0000,3.0000,1.0000,"Instagram, YouTube, Facebook"
"Solo estudio",19,"Licenciatura Incompleta",3.0000,3.0000,1.0000,1.5000,2.5000,2.0000,"Instagram, TikTok, YouTube"
"Solo estudio",19,"Licenciatura Incompleta",3.0000,3.0000,2.0000,3.0000,3.0000,2.0000,TikTok
"Solo estudio",19,"Licenciatura Incompleta",3.0000,3.0000,3.0000,3.0000,3.0000,0.0000,Twitter/X
"Solo estudio",19,"Preparatoria Completa",3.0000,3.0000,1.0000,2.5000,1.5000,1.5000,"Instagram, TikTok"
"Solo estudio",19,"Preparatoria Completa",3.0000,3.0000,1.0000,3.0000,2.0000,1.0000,"TikTok, YouTube"
"Solo estudio",20,"Licenciatura Incompleta",3.0000,1.0000,0.0000,3.0000,0.0000,2.0000,Instagram
"Solo estudio",20,"Licenciatura Incompleta",3.0000,3.0000,1.0000,1.6667,3.0000,1.3333,"Instagram, TikTok"
"Solo estudio",20,"Licenciatura Incompleta",3.0000,3.0000,3.0000,3.0000,2.5000,1.5000,"Instagram, TikTok, Twitter/X, YouTube"
"Solo estudio",20,"Licenciatura Incompleta",3.0000,2.5000,1.0000,2.5000,1.5000,1.5000,"Instagram, TikTok, YouTube"
