edad,frecuencia_consumo_musica_listas_personalizadas,frecuencia_consumo_musica_listas_plataformas,frecuencia_consumo_musica_playlist_populares,frecuencia_consumo_musica_algoritmo_descubrimiento,total_usuarios
21,3,3,3,3,4
20,3,2,1,2,4
23,3,2,1,2,3
20,3,1,0,2,3
22,3,1,2,2,2
22,3,1,0,0,2
22,3,1,1,2,2
19,3,1,1,3,2
21,3,2,2,1,2
21,3,3,2,2,2
20,3,3,3,3,2
20,3,2,2,3,2
20,3,2,2,2,2
19,3,2,1,1,1
19,2,2,2,2,1
19,3,1,0,2,1
19,3,2,1,2,1
20,3,3,0,1,1
20,3,2,0,0,1
19,2,2,2,3,1
20,2,3,0,3,1
20,1,0,0,0,1
20,2,2,2,3,1
20,2,3,0,1,1
20,2,2,3,1,1
20,3,0,1,2,1
20,3,3,1,1,1
19,3,1,1,1,1
20,3,1,1,0,1
20,3,0,0,2,1
20,3,0,0,0,1
20,3,1,1,3,1
20,3,3,2,1,1
21,3,2,2,2,1
21,3,1,0,3,1
21,3,2,0,2,1
19,3,2,2,1,1
19,3,2,2,0,1
21,1,1,1,1,1
21,3,2,0,0,1
21,3,2,1,0,1
19,3,0,0,0,1
21,3,3,2,3,1
21,3,2,1,3,1
21,3,3,1,2,1
21,3,1,0,2,1
21,3,1,1,2,1
21,3,2,1,2,1
21,3,1,2,0,1
21,3,2,1,1,1
21,3,3,3,2,1
21,3,1,0,0,1
18,3,2,2,1,1
22,2,1,1,2,1
22,3,0,0,0,1
22,3,2,3,3,1
18,3,1,1,2,1
22,3,2,2,3,1
22,3,1,0,3,1
18,3,1,0,1,1
22,3,1,3,1,1
22,1,3,1,3,1
22,3,0,0,1,1
22,3,2,1,1,1
22,3,3,2,1,1
22,0,3,2,3,1
22,1,2,0,0,1
22,3,2,2,2,1
22,3,2,3,2,1
23,3,3,1,3,1
17,3,2,1,3,1
23,3,2,3,2,1
23,3,0,0,2,1
23,3,2,3,3,1
23,3,2,2,2,1
23,3,3,1,0,1
23,3,2,0,0,1
23,3,2,1,3,1
23,1,1,2,3,1
23,3,3,1,2,1
23,3,0,0,0,1
23,3,2,2,3,1
23,3,2,0,1,1
24,3,2,1,1,1
24,3,2,3,3,1
24,0,3,3,3,1
25,3,3,3,2,1
25,3,0,2,0,1
26,2,2,1,2,1
27,3,2,0,2,1
27,2,2,1,3,1
29,3,2,1,2,1
29,3,2,2,2,1
