nivel_socioeconomico,ingreso_mensual_hogar,autos,computadoras,telefonos,frecuencia_videojuegos,frecuencia_musica,frecuencia_peliculas,frecuencia_conciertos,frecuencia_bares
"Carrera técnica completa",1,1,1,1,2.0000,3.0000,1.0000,0.0000,0.0000
"Carrera técnica completa",3,1,1,1,1.0000,3.0000,1.0000,0.0000,0.0000
"Carrera técnica completa",4,1,1,1,2.0000,3.0000,2.0000,1.0000,1.0000
"Carrera técnica incompleta",0,1,1,1,0.0000,3.0000,3.0000,2.0000,0.0000
"Carrera técnica incompleta",2,1,1,1,3.0000,3.0000,3.0000,1.0000,0.0000
"Carrera técnica incompleta",2,1,1,1,0.0000,3.0000,2.0000,1.0000,1.0000
"Licenciatura Completa",1,1,1,1,0.0000,3.0000,1.0000,2.0000,1.0000
"Licenciatura Completa",1,1,1,1,0.0000,3.0000,2.0000,0.0000,0.0000
"Licenciatura Completa",2,1,1,1,1.0000,3.0000,2.0000,2.0000,3.0000
"Licenciatura Completa",3,1,1,1,3.0000,3.0000,3.0000,2.0000,2.0000
"Licenciatura Completa",4,1,1,1,3.0000,3.0000,2.0000,2.0000,2.0000
"Licenciatura Completa",4,1,1,1,0.0000,3.0000,3.0000,3.0000,2.0000
"Licenciatura Completa",4,1,1,1,3.0000,3.0000,3.0000,3.0000,2.0000
"Licenciatura Completa",5,7,7,7,1.7143,3.0000,2.2857,2.1429,2.1429
"Licenciatura Completa",6,2,2,2,0.5000,3.0000,2.5000,2.0000,1.5000
"Licenciatura Completa",6,3,3,3,2.3333,2.6667,2.6667,1.3333,1.3333
"Licenciatura Incompleta",0,1,1,1,2.0000,3.0000,3.0000,1.0000,0.0000
"Licenciatura Incompleta",1,3,3,3,2.0000,3.0000,2.6667,2.0000,2.0000
"Licenciatura Incompleta",1,2,2,2,2.0000,3.0000,2.0000,1.0000,1.5000
"Licenciatura Incompleta",1,3,3,3,1.3333,3.0000,2.3333,1.0000,1.0000
"Licenciatura Incompleta",2,6,6,6,1.0000,3.0000,2.5000,1.3333,1.3333
"Licenciatura Incompleta",2,6,6,6,1.1667,3.0000,2.1667,1.1667,1.0000
"Licenciatura Incompleta",2,1,1,1,1.0000,3.0000,3.0000,1.0000,1.0000
"Licenciatura Incompleta",3,3,3,3,1.6667,3.0000,2.6667,2.0000,2.0000
"Licenciatura Incompleta",3,3,3,3,2.0000,3.0000,2.0000,1.0000,0.6667
"Licenciatura Incompleta",3,3,3,3,0.6667,3.0000,2.3333,1.0000,1.6667
"Licenciatura Incompleta",4,1,1,1,0.0000,3.0000,1.0000,0.0000,2.0000
"Licenciatura Incompleta",4,3,3,3,2.3333,2.6667,2.0000,1.3333,1.6667
"Licenciatura Incompleta",4,5,5,5,1.8000,2.8000,1.8000,1.8000,1.8000
"Licenciatura Incompleta",4,12,12,12,1.7500,2.9167,2.5833,1.4167,1.5833
"Licenciatura Incompleta",5,1,1,1,0.0000,3.0000,0.0000,3.0000,2.0000
"Licenciatura Incompleta",5,2,2,2,0.5000,3.0000,2.5000,1.0000,1.5000
"Licenciatura Incompleta",5,4,4,4,1.7500,3.0000,2.7500,2.2500,2.0000
"Licenciatura Incompleta",5,6,6,6,1.6667,3.0000,1.8333,2.0000,1.6667
"Licenciatura Incompleta",6,1,1,1,3.0000,2.0000,3.0000,2.0000,2.0000
"Licenciatura Incompleta",6,1,1,1,0.0000,3.0000,1.0000,2.0000,0.0000
"Licenciatura Incompleta",6,2,2,2,0.5000,3.0000,2.0000,2.0000,1.5000
"Licenciatura Incompleta",6,2,2,2,0.5000,3.0000,2.5000,2.0000,2.0000
"Preparatoria Completa",1,1,1,1,0.0000,3.0000,2.0000,2.0000,2.0000
"Preparatoria Completa",2,2,2,2,1.0000,3.0000,1.5000,0.5000,0.5000
"Preparatoria Completa",3,1,1,1,0.0000,3.0000,3.0000,2.0000,2.0000
"Preparatoria Completa",4,5,5,5,1.8000,3.0000,2.0000,1.0000,1.4000
"Preparatoria Completa",4,2,2,2,1.0000,3.0000,3.0000,1.0000,2.0000
"Preparatoria Completa",5,1,1,1,0.0000,3.0000,3.0000,1.0000,0.0000
"Preparatoria Completa",5,1,1,1,0.0000,3.0000,1.0000,3.0000,2.0000
"Preparatoria Completa",6,1,1,1,0.0000,3.0000,3.0000,2.0000,3.0000
"Preparatoria Completa",6,1,1,1,0.0000,3.0000,3.0000,2.0000,1.0000
"Secundaria Completa",0,1,1,1,0.0000,3.0000,1.0000,1.0000,0.0000
