edad,frecuencia_videojuegos,videojuegos_que_consume,consumo_simultaneo_musica_videojuego,tipo_musica_simultaneo_videojuegos,porcentaje_role,porcentaje_accion,porcentaje_aventura,porcentaje_arcade,porcentaje_deportivo,porcentaje_estrategia,porcentaje_simulacion,porcentaje_mesa,porcentaje_musical,total_usuarios
20,0,"Sin consumo",0,ninguna,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
18,0,"Sin consumo",0,"No juego video juegos",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
18,2,FIFA,1,Indie,3.0000,1.0000,1.0000,2.0000,3.0000,2.0000,2.0000,1.0000,0.0000,1
18,1,"Sin consumo",0,"Música electrónica",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
19,2,"Valorant, Minecraft, FIFA",1,"Rap, R&B, Reggaeton",2.0000,2.0000,2.0000,2.0000,3.0000,3.0000,2.0000,2.0000,2.0000,1
19,1,"Rocket League, The Binding of Isaac, Assassin’s Creed",0,"No aplica",2.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,2.0000,0.0000,1
19,0,"Sin consumo",0,"Escucho música triste como Billie Eilish o Mon Laferte ",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
19,0,"Sin consumo",0,"Generalmente pop o country (no juego videojuegos)",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
19,2,"Minecraft, clash royal, Zelda ",1,"música chill ",1.0000,1.0000,3.0000,2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1
19,3,"Sin consumo",0,"Energética, como bts",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
19,1,"Free fire, mortal kombat ",0,"No aplica",0.0000,1.0000,1.0000,2.0000,0.0000,1.0000,2.0000,3.0000,1.0000,1
19,0,"Sin consumo",0,"No juega videojuegos ",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
19,3,"The legend of zelda: Breath of the wild
Fortnite
Mario Kart",1,"Casi cualquiera siempre y cuando coincida con la estetica del juego y no sea solo por meter",2.0000,2.0000,3.0000,2.0000,0.0000,2.0000,1.0000,3.0000,2.0000,1
19,2,"Cuphead Clash royale hollow night",1,"Pop rock rap",1.0000,2.0000,2.0000,2.0000,2.0000,2.0000,1.0000,1.0000,1.0000,1
19,2,Warzone,1,"Regional mexicano ",0.0000,2.0000,0.0000,1.0000,2.0000,1.0000,0.0000,0.0000,0.0000,1
