nivel_socioeconomico,estado_civil,total_personas,compra_boletos,compra_playeras,compra_figuras,porcentaje_boletos,porcentaje_playeras,porcentaje_figuras
2,Soltero,27,24,19,10,88.89,70.37,37.04
4,Soltero,13,13,10,8,100.00,76.92,61.54
3,Soltero,51,48,37,17,94.12,72.55,33.33
5,Soltero,3,3,2,2,100.00,66.67,66.67
1,Soltero,11,8,7,3,72.73,63.64,27.27
2,"En pareja",1,1,1,0,100.00,100.00,0.00
3,"Pareja ",1,0,0,1,0.00,0.00,100.00
3,"Con pareja",1,1,1,1,100.00,100.00,100.00
2,Concubinato,2,1,0,0,50.00,0.00,0.00
4,Concubinato,1,1,1,0,100.00,100.00,0.00
3,Concubinato,1,1,1,1,100.00,100.00,100.00
