actividades_simultaneas_consumo_musica,cantidad
"De todo",3
"Tarea, quehacer",2
"Tarea, ejercicio ",2
Gym,2
"tarea, ejercicio, caminatas, como, cocino, etc",1
"Ejercicio o simplemente trayecto ",1
"Tarea, ejercicio, en camino a la escuela u algún lugar (transportarme), mientras juego videojuegos",1
"Manejar, transportarme, estudiar, sólo escuchar música",1
"Bañarme, dormir, en mi rutina de skincare, etc.",1
"Ejercicio, tarea, ordenar mi cuarto, en el
Coche, etc ",1
"Estudiar, comer. ",1
"Limpieza, tarea, mientras me maquillo ",1
"Labores domésticas ",1
"Quehacer y tareas",1
"De todo, caminar, escribir, comer, quehacer",1
Cualquiera,1
"Todo ",1
"Aseo, ir de un lugar a otro",1
"Aseo en la casa, tarea, leer, entrenar, trabajar, ",1
"Conducir,tarea",1
"Viajar de camino a la escuela, cocinar, bañarme, hacer labores del hogar, estudiar y hacer ejercicio.",1
"Cocino, ejercicio, estudio, trabajo, duermo, manejo",1
"Tareas del hogar, estudio, tarea, mientras me baño",1
"Manejar, hacer ejercicio, limpiar, jugar videojuegos ",1
"Rutinarias (transporte, limpieza, estudio, etc)",1
"Cuando voy de camino a la escuela y de regreso, e incluso al hacer tarea ",1
Manejar,1
"Conducir, caminar, estudiar",1
"Manejo o Cuando voy de camino algún lugar ",1
"Tarea y trabajo ",1
"transporte ",1
"Limpio mi casa, tarea e ir a la escuela",1
"Todas en las que pueda estar escuchando música ",1
"Tarea, el aseo, mientras me maquillo, etc.",1
"Voy en el transporte público o cuándo estoy lavando ropa ",1
"Quehacer ",1
"Cuando salgo, estudio, entreno, en todos lados",1
"transpórtame hacia algún lugar",1
"Tarea escolar, ejercicio, cocinar y trabajar",1
Conducir,1
"Ver tiktok y leer",1
"Labores domésticos etc..",1
"Dibujar/ Trabajar",1
"Ejercicio, cuando Juego, cuando hago Tareas, cuando va a fiestas ",1
"Jugar lavar conducir ",1
"Deberes del hogar, estudiar, realizar tareas, caminar, etc",1
"Manejo o hago tarea",1
"estudiar, quehacer, caminar",1
"Voy de camino a la escuela o de regreso, estoy caminando a algún lado, o cuando hago tarea ",1
"Camino hacia la universidad, camino de regreso a casa",1
"hacer ejercicio y ocasionalmente estudiar ",1
"Trabajo, estudio, transporte, lectura, ocio ",1
"Trabajar, estudiar",1
"Dibujar, hacer tarea o trabajo, escribir, leer, platicar ",1
"Prácticamente de todo",1
"Lavar trastes, bañarme, haciendo tarea, en transporte público",1
"Transporte, tarea, bañarse, vestirse, gym, cocinando, caminando, limpieza ",1
"Conducir, hacer ejercicio, bailar, bañarme, caminar, jugar videojuegos y ver el horizonte",1
"Ejercicio y quehacer",1
"Tarea, estudio, aseo y ejercicio",1
Estudiar,1
"Manejo, camino o cocino ",1
"Tarea, ejercicio, quehacer",1
"Tarea, Limpieza, Camniar",1
"Tarea,  bañarme, ejercicio, juegos, transportarme a la escuela",1
"Ejercicio , hacer tarea ,arreglo personal o al salir ",1
"Viajar en transporte, manejar, hacer tarea, hacer quehacer, bañarme, haciendo ejercicio.",1
"Bañarme, hacer ejercicio o ir en el carro",1
"Trabajar en oficina, manejar, navegar por internet ",1
"Salir ir a la tienda, hacer el super, en el transporte , mientras hace tarea, durante el quehacer, antes de dormir, ",1
"Hacer tarea/trabajar, bañarme, caminar, leer, cocinar, ",1
"todo lo hago con música ",1
"Ir en transporte ",1
"Ejercicio ",1
"Dibujar, animar, hacer mi trabajo en general. Andar en la calle y en el transporte sobretodo para evitar escuchar el ruido de la calle y el transporte público.",1
"Todas o la mayoria",1
"Bañarme, hacer tarea, cocinar, limpiar, lavar ropa. ",1
"Lavar, cocinar",1
"Tarea, trayecto de mi casa a la universidad, en la universidad, mientras realizo mis actividades.",1
"Trayecto, quehacer, tareas.",1
"trayecto, tarea",1
"Manejar ",1
"gimnasio , trayectos, Estudio. ",1
"Hago ejercicio ",1
"Trabajar ",1
Existir,1
"Leer y ver videos",1
"Transporte, tarea, ejercicio ",1
"Tareas de la escuela, aseo de la casa, deporte ",1
"Estudio, leeo, camino, hago tarea",1
"Bañarme, alistarme, tarea, trasladarse, limpiar, bailar",1
"Manejar, hacer tarea, estudiar, caminar.",1
"Tarea o aseo",1
"Viajar en transporte público, actividades escolares ",1
"Manejar, gimansio",1
"Trabajar,hacer aseo",1
Trabajo,1
"Trabajo de oficina, actividades escolares ,ejercicio , limpieza del hogar ",1
"Transporte, quehacer, ",1
"Quehacer, gym",1
Trabajar,1
"Ejercicio, jugar, hacer el quehacer ",1
