generos_musicales_favoritos,tiempo_libre_dia,promedio_conciertos,promedio_bares
"Reggaeton, Electrónica, Banda (Regional Mexicano)",2,3.0000,3.0000
"Pop, R&b, Kpop",2,3.0000,2.0000
"Pop, Electrónica, alternativa ",3,3.0000,2.0000
"Pop, R&b, Kpop",3,3.0000,2.0000
"Rock, Hiphop, Kpop",3,2.0000,3.0000
"Rock, Kpop, Jazz",2,2.0000,2.0000
"Rock, Reggaeton, Electrónica",3,2.0000,2.0000
"Kpop, Baladas, Boleros",2,2.0000,1.0000
"Pop, Reggaeton, Corridos tumbados",2,1.0000,1.0000
"Pop, R&b, Boleros",2,1.0000,1.0000
"Pop, Reggaeton, Alternativo ",2,1.0000,1.0000
"Electrónica, Jazz, Soul",3,1.0000,1.0000
