id,edad,genero,estado_civil,residencia,nivel_educativo,grado_estudios,ocupacion,paga_estudios,acceso_internet,banos,autos,computadoras,telefonos,servicios,nivel_educativo_hogar,personas_en_hogar,personas_en_hogar_trabajan,ingreso_mensual_hogar,personas_dependientes,nivel_socioeconomico,tiempo_libre_dia,frecuencia_ejercicio,frecuencia_leer,frecuencia_videojuegos,frecuencia_peliculas,frecuencia_conciertos,frecuencia_bares,frecuencia_escuchar_musica,lugares_visitados_tiempo_libre,consumo_videojuegos,razon_videojuegos,videojuegos_que_consume,frecuencia_videojuego_role,frecuencia_videojuego_accion,frecuencia_videojuego_aventura,frecuencia_videojuego_arcade,frecuencia_videojuego_deportivo,frecuencia_videojuego_estrategia,frecuencia_videojuego_simulacion,frecuencia_videojuego_juegomesa,frecuencia_videojuego_juegomusical,medio_consumo_videojuegos,consumo_simultaneo_musica_videojuego,tipo_musica_simultaneo_videojuegos,frecuencia_consumo_musica,actividades_simultaneas_consumo_musica,generos_musicales_favoritos,artistas_consumo_mayor_frecuencia,razon_consumo_artistas,donde_consumo_musica,importancia_musica_diaria,plataformas_streaming_consumo_musica,frecuencia_consumo_musica_listas_personalizadas,frecuencia_consumo_musica_listas_plataformas,frecuencia_consumo_musica_playlist_populares,frecuencia_consumo_musica_algoritmo_descubrimiento,como_descubre_musica_nueva,otra_manera_descubrimiento_musica,frecuencia_consumo_videos_musicales,razon_valoracion_cancion,razon_valoracion_video_musical,frecuencia_consumo_instagram,frecuencia_consumo_tiktok,frecuencia_consumo_twitter,frecuencia_consumo_youtube,frecuencia_consumo_facebook,importancia_seguimiento_tendencias_musicales,redes_sociales_utilizadas_novedades_musicales,creadores_contenido_frecuencia,creadores_contenido_no_le_gustan,es_fan,de_que_es_fanatico,razon_fanatico,tiempo_fanatico,consideracion_fanatico_artista,que_artista_banda_fanatico,razon_fan_artista,motivos_fan_artista,tiempo_fan_artista,frecuencia_participacion_comunidad_blog_web_fans,frecuencia_participacion_comunidad_discord,frecuencia_participacion_comunidad_grupos_facebook,frecuencia_participacion_comunidad_telegram,frecuencia_participacion_comunidad_instagram,frecuencia_participacion_eventos_en_vivo,frecuencia_participacion_comunidad_fanfiction,frecuencia_participacion_youtube,frecuencia_participacion_twitch,redes_sociales_artistas_favoritos,importancia_artista_redes,factores_seguir_artista_redes,factores_dejar_seguir_artista_redes,compra_productos_promocion_redes,asistencia_eventos_artista_promocion,dinamica_agradaria_artista_favorito,frecuencia_compra_boletos_conciertos,frecuencia_compra_disco_viniles,frecuencia_compra_playeras_artistas,frecuencia_compra_sudaderas_artistas,frecuencia_compra_gorras_artistas,frecuencia_compra_pulsera_accesorios_artistas,frecuencia_compra_cobijas_artistas,frecuencia_compra_peluches_artistas,frecuencia_compra_figuras_coleccion_artistas,frecuencia_compra_tazas_vasos_artistas,frecuencia_compra_stickers_artistas,frecuencia_compra_posters_artistas,frecuencia_compra_bolsas_totes_artistas,frecuencia_compra_llaveros_pines_artistas,otro_producto_artista_fav,marcas_productos_hobbies
2,18,1,Soltero,"Ciudad de México","Preparatoria Completa","Tecnologico de Monterrey ","Solo estudio","Mi padre/madre o tutor",1,4,3,3,5,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)",Posgrado,"5 o más personas","3-4 personas",6,"5 o más personas",4,2,3,1,0,3,2,1,3,"parques o zonas verdes",0,"Sin consumo","Sin consumo",0,0,0,0,0,0,0,0,0,"Sin consumo",0,"No juego video juegos",2,"tarea, ejercicio, caminatas, como, cocino, etc","Kpop, Baladas, Boleros","-Tomorrow x together
-Enjambre
-Taylor Swift","Escucho a TXT pues su música es muy variada dinámica y combina el baile la música y las habilidades de los artistas para crear todo un concepto, por otro lado escucho a enjambre cuando quiero escuchar algo en español tienen música que entra dentro del genero de rock pero recientemente sacaron la categoría de noches de salón en la cual resaltan sobre todo la lírica de sus canciones las cuales me gustan mucho y me hacen sentir identificada, para finalizar Taylor Swift es una cantante que dentro de su música tiene muchos ritmos con líricas muy profundas o divertidas lo que disfruto mucho","En casa, En la universidad, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",3,"Apple Music, YouTube Music, Apple music",3,1,0,1,"Amigos, Redes sociales, Tendencias","en recomendaciones de amigos o familiares",2,"la letra sobre todo","que tenga un concepto o cuente una historia acorde a la lírica de la canción",3,3,3,2,1,1,"Instagram, TikTok","Diana Wong
Priscila Arias
Maria Bolio","N/a (casi no consumo contenido de influencers)",1,F1,"me gusta mucho, lo considero un escape de los problemas de mi realidad",1,1,TXT,"Me identifico con su música o sus letras, Por la interacción que tienen con los fans, Han impactado mi vida de alguna forma","A través de su logran transmitir mensajes positivos que impactan en mi vida",3,2,0,2,0,3,2,0,1,0,"Instagram, Tik Tok, Facebook, Youtube, X",4,"Me gusta su música, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Sin motivos",1,1,"pop-up stores",3,3,1,1,1,0,0,2,0,0,1,0,0,0,Ninguno,"sonny (audifonos), iphone , nike, converse, etc"
3,18,0,Soltero,"Coyoacan ","Licenciatura Incompleta",UNAM,"Solo estudio","Mi padre/madre o tutor",1,1,0,2,2,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)",Posgrado,"1-2 personas","1-2 personas",4,"3-4 personas",3,0,3,1,2,2,1,1,3,"Gimnasio ",1,"Me gusta ",FIFA,3,1,1,2,3,2,2,1,0,X-box,1,Indie,2,"Ejercicio o simplemente trayecto ","Indie y música chill ","Skillbea, plastical people ","Me gusta mucho ","En casa, En la universidad, En el transporte público, Mientras hago ejercicio",3,Spotify,3,1,1,2,"Redes sociales, Playlists o algoritmos de plataformas","Mas que nada la música recomendada en Spotify ",1,"La letra y mas que nada su ritmo ","No me es relevante ",3,3,1,2,1,1,TikTok,"Djmario, Yair Sánchez ","No aplica ",1,"De la música ","Me trasmite tranquilidad ",3,1,Skillbea,"Me identifico con su música o sus letras","Me gustan mucho sus combinaciones de sonido ",1,0,0,0,0,0,0,0,0,0,Instagram,1,"Me gusta su música","Que suba mucho contenido constantemente ",0,0,"Qué sacará mas canciones ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No compro cosas ","Nike, Adidas, gymshark "
4,18,0,Soltero,Coyoacan,"Preparatoria Completa","Teloloapan Guerrero","Estudio y trabajo medio tiempo","Mi padre/madre o tutor",1,2,1,2,5,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Licenciatura Completa","3-4 personas","3-4 personas",4,"3-4 personas",2,1,1,1,1,2,0,3,3,"Cafeterías ",0,"Me aburren","Sin consumo",0,0,0,0,0,0,0,0,0,"Sin consumo",0,"Música electrónica",2,"Tarea, quehacer","Reggaeton, Corridos, Corridos tumbados","Luis r
Junior h
Alfredo olivas","Por que tienen buenas canciones","En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",2,Spotify,3,2,2,1,"Redes sociales, Tendencias","En plataformas",1,Ritmo,Presentacion,3,3,0,1,3,2,TikTok,"Juve 3d 
.luisito comunica 
Canelo alvarwz","Asmr 
Etc",1,Ciclismo,"Me gusta desde pequeño",5,1,"Morat, luis r, junior h","Me identifico con su música o sus letras, Me gusta su estilo de vida o su historia personal, Por la interacción que tienen con los fans","Por su ritmo ",3,1,1,1,1,1,1,1,2,1,"Instagram, Tik Tok, Facebook, Youtube",3,"Me gusta su música, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores","Su malo contenido en las nuevas musicasmusicas",1,0,"Convivencia cercana a ellos",2,2,2,3,3,3,2,2,2,1,2,2,2,3,Discos,Sabritas
5,19,0,Soltero,"Ecatepec de Morelos","Licenciatura Incompleta",UNAM,"Estudio y trabajo medio tiempo","Mi padre/madre o tutor",1,2,1,2,4,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Carrera técnica completa","3-4 personas","3-4 personas",4,"1-2 personas",3,0,2,2,2,1,2,1,3,"Parques, cines, bibliotecas y bazares",1,"Me parece que es un mundo muy unido, en el que ademas de jugar puedes aprender demasiadas cosas, conectas con gente similiar, creas un competitividad sana y tratas de mejorar día a día","Valorant, Minecraft, FIFA",2,2,2,2,3,3,2,2,2,"Playstation, PC",1,"Rap, R&B, Reggaeton",3,"Tarea, ejercicio, en camino a la escuela u algún lugar (transportarme), mientras juego videojuegos","Hiphop, Reggaeton, R&b","Natanael Cano, NSQK, Cruzz Cafune","me inspiran, me parecen innovadores los proyectos, tienen u punto de vista que comparto, me gustan las letras y ritmos que utilizan","En casa, En la universidad, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas",3,"Spotify, YouTube Music",3,1,1,3,"Amigos, Redes sociales, Playlists o algoritmos de plataformas, Colaboraciones con artistas que escucho","Por creadores de contenido en tt, medios especializados en música",1,"La fusion de letra y ritmo, concepto y lo innovadora que puede ser","el arte, un buen concepto, la congruencia del video (tomas, visuales y arte en general)",3,3,2,3,1,1,"Instagram, TikTok, YouTube","Richie O'Farril, Hector Elí, Esen Alva","Kunno, Kimberly Loaiza, Amy Rodriguez",1,"Diseño, videojuegos, deportes y música","conecto bastante, me agrada piner en practica mis habilidades, me siento en tranquilidad cuando lo consumo",4,1,"Nsqk, Cruz Cafune, Kanye West","Me identifico con su música o sus letras, Me gusta su estilo de vida o su historia personal, Por la interacción que tienen con los fans, Han impactado mi vida de alguna forma, Me gusta su imagen o estética","sus opiniones en contenido (podcast) y su creatividad e innovacion",3,3,2,2,0,3,2,1,3,2,"Instagram, Tik Tok, Youtube, X, Twitch",3,"Me gusta su música, Quiero estar al día con sus novedades","Su spam o mucha publicidad",0,1,"Meet and great y/o eventos exclusivos",3,2,1,1,0,2,0,2,0,2,3,2,1,2,Ninguno,"accesorios (audifonos), snacks (bebidas)"
6,19,0,Soltero,Iztacalco,"Licenciatura Incompleta","Facultad de Ciencias UNAM","Solo estudio","Mi padre/madre o tutor",1,1,1,1,3,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Secundaria Completa","3-4 personas","1-2 personas",4,"3-4 personas",2,0,2,2,1,1,1,2,2,"Parques, Bares",1,"Me ayudan a desestresarme","Rocket League, The Binding of Isaac, Assassin’s Creed",2,1,1,1,0,0,1,2,0,"X-box, Celular",0,"No aplica",1,"Manejar, transportarme, estudiar, sólo escuchar música","Pop, Rock, Hiphop","Kanye West, The Beatles, Twenty one pilots","Conexión emocional ","En casa, En la universidad, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",3,"Spotify, YouTube Music",3,0,0,0,"Familia, Amigos, Redes sociales","Artistas relacionados o que me llaman la atención",0,"Letra, melodía y/o armonía","No veo videos",3,3,3,3,3,0,Twitter/X,"TheNeedleDrop, Turning Tables, NFR","No sé",0,"Sin fanatismo","No aplica",0,1,"Kanye West, The Beatles, Twenty One Pilots","Me identifico con su música o sus letras, Me gusta su estilo de vida o su historia personal, Han impactado mi vida de alguna forma","Sólo esos",4,0,0,1,0,0,0,0,0,0,"Instagram, X",1,"Me gusta su música, Quiero estar al día con sus novedades","Contenido irrelevante ",0,0,"Ninguna en especial",1,2,0,1,0,1,0,0,0,1,0,0,1,0,Ninguno,"Agua ciel"
7,19,1,Soltero,"Azcapotzalco ","Preparatoria Completa","Mi último grado de estudio fue prepa buap","Solo estudio","Mi padre/madre o tutor",1,1,1,1,2,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.)","Licenciatura Completa","1-2 personas","1-2 personas",2,"1-2 personas",3,0,2,1,0,1,0,1,3,"Gym ",0,"No me gustan ","Sin consumo",0,0,0,0,0,0,0,0,0,"Sin consumo",0,"Escucho música triste como Billie Eilish o Mon Laferte ",3,"Bañarme, dormir, en mi rutina de skincare, etc.","Pop, Reggaeton, R&b","Billie Eilish","Me encanta su música ","En casa",3,"Spotify, YouTube Music",3,1,1,3,"Amigos, Redes sociales, Playlists o algoritmos de plataformas, Estaciones de radio, Tendencias, Espacios públicos, Shazam o Soundhound","Buscando en Google ",2,"Que resuene conmigo","Que exprese la canción ",3,3,1,3,2,1,"TikTok, YouTube","Virgo, kuntur y bárbara durazno","No me acuerdo",1,"De billie eilish ","Me encanta",5,1,"Billie eilish","Me identifico con su música o sus letras, Me gusta su estilo de vida o su historia personal, Han impactado mi vida de alguna forma","Su música me acompañó en los momentos más oscuros de mi vida",5,2,1,2,0,2,1,1,2,0,"Instagram, Tik Tok, Facebook, Youtube",4,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Que me aburra",1,0,"Que venga a dar un concierto a México ",0,0,0,0,0,0,0,0,0,0,1,2,0,0,"Un libro",Adidas
8,19,1,Soltero,"Metepec.Edo de Méx ","Preparatoria Completa","Prepa Anahuac Toluca ","Solo estudio","Mi padre/madre o tutor",1,3,2,5,4,"Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Licenciatura Completa","3-4 personas","1-2 personas",6,"3-4 personas",5,1,3,1,0,3,2,3,3,"Centros comerciales ",0,"Nunca tuve interés ","Sin consumo",0,0,0,0,0,0,0,0,0,"Sin consumo",0,"Generalmente pop o country (no juego videojuegos)",3,"Ejercicio, tarea, ordenar mi cuarto, en el
Coche, etc ","Pop, Country","Taylor Swift, Morgan Wallen, Luke Combs  ","Me gustan y concierto q su música me encanta ","En casa, En la universidad, En transporte propio",3,"Apple Music",3,2,2,0,"Amigos, Redes sociales, Playlists o algoritmos de plataformas, Colaboraciones con artistas que escucho","Aveces en series o películas ",2,"La letra y el ritmos ","La historia ",3,3,0,2,1,2,"Instagram, TikTok","Pd3, Alex Cooper y Christine Horn ","Lily García, de las demás no me acuerdo de su nombre ",1,"De las películas y el arte ","- Las historias que cuentan por medio de narrativas visuales se me hacen espectacular, cada historia la vi cierto diferente.
- Del arte por su historia y el contexto que transmiten ",4,0,"Sin fanatismo",,"Sin motivos",0,0,0,0,0,0,0,0,0,0,,0,"No aplica","Sin motivos",0,0,"Sin dinamica",3,2,3,3,1,1,0,0,0,2,2,0,2,1,"Postales ","Nike "
9,19,1,Soltero,"Pachuca ","Licenciatura Incompleta",UAEH,"Solo estudio","Mi padre/madre o tutor",1,2,2,3,3,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Licenciatura Completa","3-4 personas","1-2 personas",4,"1-2 personas",3,0,2,0,2,3,1,2,2,"Me quedo en casa o salgo al cine o a restaurantes ",1,"Me distrae ","Minecraft, clash royal, Zelda ",1,1,3,2,1,0,0,0,0,"Nintendo, Celular",1,"música chill ",1,"Estudiar, comer. ","Pop, Hiphop, Corridos tumbados","Kalis uchis, grupo frontera, junior H","Me gusta el ritmo y aveces me relaciono con la letra de las canciones . ","En casa, En la universidad, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",2,Spotify,3,2,2,1,"Familia, Amigos, Redes sociales, Tendencias","Recomendaciones de streamers ",2,"Ritmo, letra, que se pueda bailar o sea movida ","Que sea interesante y tenga sorpresas ",3,3,1,2,2,2,"Instagram, TikTok, YouTube","Luisito comunica, rod contreras, Jimena Aguilar. ","Dominguero, Alfredo Valenzuela, Kimberly Loaiza",1,"Maquillaje ","Me hace sentir mas cómoda conmigo y me ha hecho conocer a una de mis mejores amigas, conmigo y ella hago actividades relacionadas, ves un tema de platica. ",2,1,"Harry Styles, Sabrina carpenter, The Beatles  ","Me identifico con su música o sus letras, Me gusta su estilo de vida o su historia personal, Han impactado mi vida de alguna forma, Me gusta su imagen o estética","Me gusta su música y su estética. Me gustan sus grupos de fans y me identifico con ellos. ",2,0,0,0,0,2,2,0,1,0,"Instagram, Youtube",4,"Me gusta su música, Me interesa su vida personal","Funas, dejan de ser auténticos en su contenido y hacen muchas colaboración y patrocinios diferentes, se empiezan a juntar con influencer que no me gustan. ",1,1,"Hacer streams propios o con streamers populares como el Mariana o Rivers  ",2,0,0,0,0,2,0,0,0,1,0,1,1,1,Ninguno,"L’Oréal, Kylie cosmetics, gym shark "
10,19,1,Soltero,"Tultitlán ","Preparatoria Completa","Cch Azcapotzalco ","Solo estudio","Mi padre/madre o tutor",1,1,2,4,5,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Licenciatura Completa","3-4 personas","1-2 personas",4,"1-2 personas",2,2,2,3,3,3,2,2,3,"Centro comerciales y cafeterias",0,"Es divertido ","Sin consumo",0,0,0,0,0,0,0,0,0,"Sin consumo",0,"Energética, como bts",3,"Limpieza, tarea, mientras me maquillo ","Rock, Kpop, Jazz","Bts, Taylor Swift y Laufey ","Me gustan sus conceptos ","En casa, En la universidad, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas",3,Spotify,3,1,1,1,"Familia, Amigos, Redes sociales, Playlists o algoritmos de plataformas, Tendencias, Colaboraciones con artistas que escucho, Shazam o Soundhound","Por películas",2,"Que tenga buen ritmo y me identifique ","Que sea super producido ",3,3,2,3,2,1,"Instagram, TikTok","@rehina_susa
@gigigianna_
@awesomeactioncat","Kimberly Loaiza 
Tami parra
El temach",1,"Kpop, en especial BTS","Me han ayudado mucho en momentos difíciles ",5,1,"Bts, Taylor Swift y Laufey ","Me identifico con su música o sus letras, Me gusta su estilo de vida o su historia personal, Por la interacción que tienen con los fans, Han impactado mi vida de alguna forma, Me gusta su imagen o estética","Sus conceptos ",5,3,0,3,0,1,1,3,3,0,"Instagram, Tik Tok",4,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.), Por las dinámicas o concursos que realizan","Valores que no vayan conmigo ",1,1,"Conciertos y fiestas temáticas ",1,1,2,2,0,2,0,1,1,1,3,3,3,3,Photocards,"Maybelline "
11,19,1,Soltero,"Chimalhuacán ","Licenciatura Incompleta","FES Acatlán ","Solo estudio","Mi padre/madre o tutor",1,1,1,2,3,"Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Licenciatura Incompleta","3-4 personas","1-2 personas",1,"3-4 personas",1,1,2,3,1,3,1,1,3,"Plazas ",1,"Es una buena forma de relajarse ","Free fire, mortal kombat ",0,1,1,2,0,1,2,3,1,"X-box, Celular",0,"No aplica",2,"Labores domésticas ","Pop, Reggaeton, Banda (Regional Mexicano)","Julion Álvarez, Sabrina Carpenter, Café tacvba","Porque me agrada su música ","En casa, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas",2,"YouTube Music",2,2,2,3,"Familia, Amigos, Redes sociales, Colaboraciones con artistas que escucho","Por el algoritmo ",2,"La letra ","La historia que tratan de contar ",3,3,2,3,3,2,TikTok,"Juan da, Zamir, Yuya","Todo el team Jukilop",1,"De los webtoons","Porque las historia son buenas y retratan situaciones con las que te identifiques ",3,0,"Sin fanatismo",,"Sin motivos",0,0,0,0,0,0,0,0,0,0,,0,"No aplica","Sin motivos",0,0,"Sin dinamica",2,1,1,1,1,1,1,1,1,1,2,2,2,2,"Bebidas ",Disney
