act,Frecuencia
y,21
fanatismo,20
Sin,20
The,7
One,7
Harry,7
"BTS,",6
Luis,6
Taylor,6
"Swift,",5
"Miguel,",5
"Morat,",4
the,4
Sabrina,3
"Styles,",3
Styles,3
Twenty,3
"Beatles,",3
Jose,3
de,3
Bad,3
"direction,",2
"Feid,",2
"Direction,",2
"Gorillaz,",2
Mon,2
Twice,2
one,2
cd9,2
"H,",2
Lana,2
del,2
Ariana,2
los,2
banda,2
Junior,2
Los,2
alfredo,2
Morat,2
Justin,2
bts,2
junior,2
Kanye,2
"Nsqk,",2
h,2
Billie,2
morat,2
Beatles,2
"Bts,",2
Alejandro,2
"Bunny,",2
"Humbe,",2
julion,1
Danna,1
alvarez,1
grupo,1
"olivas,",1
Paola.,1
Lorde,1
"Styes,",1
"Belanova,",1
"Belinda,",1
Cramberries,1
Sevenfold,1
firme,1
Avenged,1
"Siddharta,",1
Caloncho,1
Combs,1
Shinedown,1
"Metric,",1
Luke,1
TXT,1
Bieber,1
"MJ,",1
bring,1
maneskin,1
"5sos,",1
Aa,1
Anuel,1
Rauw,1
Chris,1
"Tinashe,",1
ya,1
"Towers,",1
Mike,1
Halsey,1
"Maneskin,",1
mafia,1
me,1
horizon,1
OneRepublic,1
"Carpenter,",1
Itzy,1
Olivia,1
"Rodrigo,",1
Tomorrow,1
x,1
"Together,",1
Grande,1
Mesoneros,1
Raw,1
"Grande,",1
wallows,1
pierce,1
veil,1
Agustín,1
Jaramillo,1
"Lara,",1
Oliver,1
Duki,1
"pzk,",1
Tiago,1
Kygo,1
"Avicci,",1
"Heldens,",1
Interpol,1
cat,1
"Pilots,",1
"Lamar,",1
Kendrick,1
miró,1
zacatecas,1
románticos,1
Emilia,1
Mernes,1
Cold,1
"play,",1
weekend,1
"Exo,",1
Die,1
antwoord,1
Kai,1
Rels,1
"b,",1
mesoneros,1
Boogie,1
"belguique,",1
goth,1
"babe,",1
yann,1
"Bities,",1
doja,1
Elton,1
Carpenter,1
"Bieber,",1
"humbe,",1
Julio,1
"Gorme,",1
Eydie,1
"panchos,",1
olivas,1
"Thieves,",1
"feid,",1
Garcia.,1
Leonel,1
"Pxndx,",1
"Madero,",1
John.,1
Bruno,1
Mars,1
seventeen,1
fifth,1
harmony,1
Studio,1
"killers,",1
Laferte,1
Brutalismus,1
"3000,",1
Pixies,1
"Porter,",1
Green,1
Day,1
"Got7,",1
Nothing,1
but,1
latín,1
eladio,1
"Killers,",1
C,1
"José,",1
José,1
Aespa,1
TWICE,1
AquihayAquihay,1
Tangana,1
"Baez,",1
"Doors,",1
Jesse,1
"Lagos,Belanova",1
Aventura,1
"V,",1
Maroon,1
"Venegas,",1
Enjambre,1
Sebastián,1
"Yatra,",1
Alfredito,1
"pilots,",1
"canserbero,",1
avicii,1
"Avicii,",1
"Dirección,",1
Niall,1
"Horan,",1
Louis,1
Tomlinson,1
"weekned,",1
chase,1
atlatic,1
justin,1
Julieta,1
"Bastón,",1
La,1
Boy,1
luis,1
"r,",1
Cruz,1
"Cafune,",1
West,1
"West,",1
Pilots,1
eilish,1
"carpenter,",1
Swift,1
Laufey,1
"Enjambre,",1
Cuarteto,1
"Nos,",1
Pablo,1
"Rey,",1
Nd,1
"kobi,",1
carin,1
"León,",1
Pedro,1
Infante,1
Fuerza,1
"regida,",1
Peso,1
pluma,1
Miguel,1
Serbia,1
"Laferte,",1
"Oasis,",1
biber,1
Little,1
"Jesus,",1
"carrión,",1
Imagine,1
"dragons,",1
arctic,1
"monkeys,",1
Coldplay,1
"ramstein,",1
drake,1
mario,1
"bautista,",1
danna,1
paola,1
álvaro,1
"díaz,",1
Skillbea,1
"Zoé,",1
"rey,",1
León,1
"Larregui,",1
Bunny,1
Feid,1
"Lauv,",1
Carla,1
"Morrison,",1
Humbe,1
"Paramore,",1
My,1
Chemical,1
Romance,1
ms,1
"ATEEZ,TXT",1
1975,1
monkeys,1
Kings,1
anuel,1
of,1
leon,1
direction,1
Alvaro,1
diaz,1
Kevin,1
Kaarl,1
"Duki,",1
C-kan,1
Wos,1
BTS,1
"Aleman,",1
bad,1
"bunny,",1
"Twice,",1
Arctic,1
"kep1er,",1
Newjeans,1
"Kendrick,",1
"Ye,",1
Tyler,1
Álvaro,1
"Díaz,",1
Block,1
Party,1
Ghost,1
Cigarettes,1
After,1
Sex,1
o,1
tiersen,1
