act,Frecuencia
No,33
aplica,20
juego,14
y,10
Pop,9
videojuegos,8
De,7
Rock,6
en,6
pop,6
Ninguna,5
no,5
todo,5
de,5
como,4
el,4
Indie,4
"pop,",4
rock,4
electrónica,4
del,3
mi,3
español,3
"Rock,",3
más,3
o,3
playlist,3
inglés,2
que,2
Si,2
Mi,2
rap,2
Lo,2
hago,2
"rock,",2
caiga,2
"todo,",2
ninguna,2
R&B,2
"juego,",2
aleatorio,2
La,2
musica,2
pero,2
lo,2
kpop,2
veces,2
cuando,2
solo,2
"Rap,",2
música,2
juegos,2
video,2
normalmente,1
reguetón,1
"R&B,",1
principalmente,1
Reggaeton,1
Escucho,1
"reggaeton,",1
triste,1
k-pop,1
meter,1
Phonk,1
spotify,1
Billie,1
modo,1
minguna,1
rockindie,1
sonoras,1
banda,1
"poco,",1
un,1
Eilish,1
Swift,1
Reguetón,1
escucho.,1
alternativa,1
Rock/Indie,1
"house,",1
"Downtempo,",1
argentino,1
Trap,1
Alternativo,1
"Trap,",1
"Pop,",1
afines,1
punk,1
alternativo,1
"grunge,",1
"Techno,",1
urbana,1
"corridos,",1
/,1
biblioteca,1
pongo,1
Música,1
"escucho,",1
A,1
escucho,1
Taylor,1
"""",1
Regional,1
siempre,1
Me,1
ánimo,1
estado,1
"Energética,",1
a,1
acuerdo,1
bts,1
juega,1
Casi,1
cualquiera,1
coincida,1
escuchar,1
pondría,1
"consola,",1
tuviera,1
con,1
la,1
estetica,1
sea,1
"habitual,",1
por,1
mexicano,1
gusta,1
algunas,1
"""rock""",1
Depende,1
movido,1
hasta,1
"jazz""",1
tranquilo,1
Mon,1
ritmo,1
desde,1
varía,1
Laferte,1
Generalmente,1
country,1
chill,1
Kpop,1
(no,1
sería,1
"jugará,",1
variada,1
nsqk,1
Electrónica,1
videojuegos),1
techno.,1
"Bdm,",1
dreamwave,1
