act,Frecuencia
en,18
de,17
hacer,16
la,16
"tarea,",13
y,13
el,12
o,12
a,12
"Tarea,",11
transporte,8
"ejercicio,",8
tarea,8
camino,7
ejercicio,7
mientras,6
"estudio,",6
"bañarme,",6
quehacer,6
"quehacer,",5
"caminar,",5
hago,5
todo,5
escuela,5
mi,5
",",4
aseo,4
estudiar,4
Trabajar,4
cuando,4
del,4
ir,4
"Bañarme,",4
lugar,4
algún,4
Ejercicio,4
"Manejar,",4
"estudiar,",4
"leer,",3
"limpiar,",3
"cocinar,",3
videojuegos,3
"Transporte,",3
"casa,",3
"hogar,",3
etc,3
De,3
Tarea,3
Viajar,3
me,3
"Ejercicio,",3
música,3
"universidad,",3
Cuando,3
jugar,2
trayecto,2
Manejar,2
e,2
"regreso,",2
voy,2
actividades,2
ejercicio.,2
"manejar,",2
"Dibujar,",2
"trabajo,",2
"Conducir,",2
"oficina,",2
trabajo,2
Manejo,2
"escuela,",2
Tareas,2
"dormir,",2
Trabajo,2
"transporte,",2
estoy,2
etc.,2
casa,2
escuchar,2
limpieza,2
"Limpieza,",2
público,2
Labores,2
ver,2
Quehacer,2
escolares,2
Voy,2
"escribir,",2
hacia,2
haciendo,2
lavar,2
cocinar,2
calle,2
Todas,2
al,2
"super,",1
"tienda,",1
Salir,1
hace,1
internet,1
"vestirse,",1
por,1
navegar,1
"cocinando,",1
"caminando,",1
"bailar,",1
horizonte,1
"gym,",1
Estudiar,1
"Manejo,",1
cocino,1
antes,1
Camniar,1
"juegos,",1
transportarme,1
",arreglo",1
"bañarse,",1
personal,1
salir,1
carro,1
durante,1
"Lavar,",1
Hacer,1
"trasladarse,",1
Hago,1
Existir,1
Leer,1
videos,1
deporte,1
"Estudio,",1
"leeo,",1
"camino,",1
"alistarme,",1
bailar,1
"trayectos,",1
caminar.,1
"público,",1
gimansio,1
"Trabajar,hacer",1
",ejercicio",1
hogar,1
"Quehacer,",1
gym,1
GYM,1
Estudio.,1
gimnasio,1
"tarea/trabajar,",1
ruido,1
lo,1
con,1
Ir,1
"animar,",1
general.,1
Andar,1
sobretodo,1
para,1
evitar,1
público.,1
Gym,1
mayoria,1
ropa.,1
Lavar,1
realizo,1
mis,1
actividades.,1
"Trayecto,",1
tareas.,1
"trayecto,",1
"trastes,",1
"escolar,",1
Prácticamente,1
labores,1
Todo,1
"Aseo,",1
un,1
otro,1
Aseo,1
"entrenar,",1
"trabajar,",1
"Conducir,tarea",1
"Cocino,",1
"comer,",1
"duermo,",1
manejo,1
baño,1
Rutinarias,1
"(transporte,",1
"limpieza,",1
etc),1
incluso,1
Cualquiera,1
"todo,",1
platicar,1
sólo,1
"caminatas,",1
"como,",1
"cocino,",1
simplemente,1
u,1
"(transportarme),",1
juego,1
"transportarme,",1
rutina,1
tareas,1
"skincare,",1
ordenar,1
"cuarto,",1
"Coche,",1
"Estudiar,",1
comer.,1
maquillo,1
domésticas,1
Limpio,1
las,1
que,1
caminar,1
"Tareas,",1
va,1
fiestas,1
Jugar,1
conducir,1
Deberes,1
realizar,1
"tareas,",1
caminando,1
pueda,1
"lado,",1
Camino,1
regreso,1
ocasionalmente,1
"Trabajo,",1
"lectura,",1
ocio,1
"Trabajar,",1
"Juego,",1
Dibujar/,1
etc..,1
domésticos,1
estar,1
escuchando,1
"aseo,",1
"maquillo,",1
cuándo,1
lavando,1
ropa,1
"salgo,",1
"entreno,",1
todos,1
lados,1
transpórtame,1
trabajar,1
Conducir,1
Ver,1
tiktok,1
leer,1
"jugar,",1
